YEAR;MONTH;MINIMUM TEMPERATURE C
2007;Ene;4,4
;Feb;-4,6
;Mar;5,1
;Abr;6,6
;May;5,9
;Jun;5,9
;Jul;4,3
;Ago;3
;Sep;1,7
;Oct;4,2
;Nov;-0,1
;Dic;2,1
2008;Ene;-1,5
;Feb;-1,1
;Mar;3,8
;Abr;2,2
;May;4,5
;Jun;5,7
;Jul;6,1
;Ago;5
;Sep;6
;Oct;4,3
;Nov;7
;Dic;4,3
2009;Ene;4
;Feb;5,1
;Mar;7,3
;Abr;5,7
;May;5,4
;Jun;6,4
;Jul;6,4
;Ago;7,1
;Sep;4
;Oct;3,7
;Nov;5,3
;Dic;2,8
2010;Ene;0,4
;Feb;6
;Mar;5,3
;Abr;7,4
;May;9,1
;Jun;7,3
;Jul;6,6
;Ago;8,1
;Sep;6,6
;Oct;6,3
;Nov;6,7
;Dic;5
2011;Ene;4,3
;Feb;5,5
;Mar;6
;Abr;8,4
;May;7,7
;Jun;6
;Jul;5,6
;Ago;5,3
;Sep;4,2
;Oct;5,3
;Nov;4,6
;Dic;6,5
2012;Ene;4,2
;Feb;4,2
;Mar;6,7
;Abr;7,2
;May;6,5
;Jun;4,9
;Jul;6,6
;Ago;7,3
;Sep;4,6
;Oct;5,2
;Nov;2,9
;Dic;3,6
2013;Ene;2,5
;Feb;5,4
;Mar;4,1
;Abr;5,2
;May;6,7
;Jun;6,5
;Jul;5,4
;Ago;6,7
;Sep;4
;Oct;4,3
;Nov;5,3
;Dic;4,7
2014;Ene;3,3
;Feb;5,3
;Mar;5,2
;Abr;6,2
;May;4,6
;Jun;6,1
;Jul;6,5
;Ago;3,3
;Sep;5,2
;Oct;5,9
;Nov;6
;Dic;4
2015;Ene;1,9
;Feb;4,7
;Mar;6,4
;Abr;7,3
;May;5,9
;Jun;6
;Jul;6,9
;Ago;5,5
;Sep;3,3
;Oct;5,3
;Nov;7,2
;Dic;3,6
2016;Ene;3,1
;Feb;4,8
;Mar;5,7
;Abr;8,6
;May;8
;Jun;6,8
;Jul;7,4
;Ago;5,2
;Sep;5,4
;Oct;5
;Nov;6,5
;Dic;4
2017;Ene;2,2
;Feb;3,5
;Mar;4,9
;Abr;4,1
;May;6,8
;Jun;6,8
;Jul;6,2
;Ago;5,4
;Sep;5,9
;Oct;5,4
;Nov;4,9
;Dic;2,6
2018;Ene;3,4
;Feb;4,9
;Mar;3,5
;Abr;7
;May;6,5
;Jun;6,4
;Jul;7,4
;Ago;3,4
;Sep;5,3
;Oct;6,3
;Nov;6
;Dic;3,6
2019;Ene;3,9
;Feb;6,2
;Mar;6,8
;Abr;8
;May;5,3
;Jun;5,8
;Jul;6,2
;Ago;4,5
;Sep;6,2
;Oct;4,8
;Nov;5,2
;Dic;5,7
2020;Ene;3,3
;Feb;0,7
;Mar;5,8
;Abr;4,8
;May;7,2
;Jun;7,1
;Jul;7,4
